ts,temperature,humidity,mq5_raw,mq5_index
2026-04-26T05:22:14.527Z,25,18,131,0.514
2026-04-26T05:22:20.025Z,25,19,131,0.514
2026-04-26T05:22:25.491Z,25,19,131,0.514
2026-04-26T05:22:30.935Z,25,19,135,0.529
2026-04-26T05:22:36.420Z,25,19,133,0.522
2026-04-26T05:22:41.875Z,25,19,134,0.525
2026-04-26T05:22:47.342Z,25,19,132,0.518
2026-04-26T05:22:52.809Z,25,19,134,0.525
2026-04-26T05:22:58.286Z,25,19,131,0.514
2026-04-26T05:23:03.753Z,25,19,134,0.525
2026-04-26T05:23:09.236Z,25,19,131,0.514
2026-04-26T05:23:14.707Z,25,19,131,0.514
2026-04-26T05:23:20.173Z,25,19,131,0.514
2026-04-26T05:23:25.645Z,25,19,132,0.518
2026-04-26T05:23:31.120Z,null,null,130,0.51
2026-04-26T05:23:38.218Z,25,21,132,0.518
2026-04-26T05:23:43.689Z,25,19,131,0.514
2026-04-26T05:23:49.160Z,25,19,132,0.518
2026-04-26T05:23:54.626Z,25,19,131,0.514
2026-04-26T05:24:00.096Z,25,19,133,0.522
2026-04-26T05:24:05.582Z,25,19,134,0.525
2026-04-26T05:24:11.072Z,25,19,135,0.529
2026-04-26T05:24:16.539Z,25,19,131,0.514
2026-04-26T05:24:22.008Z,25,19,134,0.525
2026-04-26T05:24:27.475Z,25,19,131,0.514
2026-04-26T05:24:32.935Z,25,19,135,0.529
2026-04-26T05:24:38.398Z,25,19,135,0.529
2026-04-26T05:24:43.865Z,25,19,131,0.514
2026-04-26T05:24:49.318Z,25,19,133,0.522
2026-04-26T05:24:54.792Z,25,19,131,0.514
2026-04-26T05:25:00.260Z,25,20,136,0.533
2026-04-26T05:25:05.735Z,25,19,134,0.525
2026-04-26T05:25:11.218Z,25,19,132,0.518
2026-04-26T05:25:16.688Z,25,20,131,0.514
2026-04-26T05:25:22.151Z,25,20,126,0.494
2026-04-26T05:25:27.604Z,25,21,127,0.498
2026-04-26T05:25:33.074Z,25,20,131,0.514
2026-04-26T05:25:38.543Z,25,20,130,0.51
2026-04-26T05:25:43.989Z,25,20,127,0.498
2026-04-26T05:25:49.430Z,25,20,127,0.498
2026-04-26T05:25:54.899Z,25,20,127,0.498
2026-04-26T05:26:00.367Z,25,20,128,0.502
2026-04-26T05:26:05.850Z,25,20,129,0.506
2026-04-26T05:26:11.320Z,25,20,129,0.506
2026-04-26T05:26:16.789Z,25,20,127,0.498
2026-04-26T05:26:22.276Z,25,20,126,0.494
2026-04-26T05:26:27.746Z,25,20,128,0.502
2026-04-26T05:26:33.214Z,25,20,128,0.502
2026-04-26T05:26:38.689Z,25,20,128,0.502
